Number,target_variable,Ankle plantar/dorsiflexion angle(бу),Ankle in/eversion angle(бу),Hip ad/abduction angle(бу),Knee flex/extension angle(бу),Knee ad/abduction angle(бу),Knee in/external rotation angle(бу),M/L pelvic lean(бу),Vertical pelvic lean(бу),Vertical trunk lean(бу),M/L COM position(mm),Vertical COM position(mm)
1,13.23783223,26.569,3.97118,3.07988,30.1847,13.2073,12.25,1.58237,-0.664872,-0.824743,786.656,977.49
2,13.32384705,26.6821,3.94415,2.91219,29.1834,12.8123,11.7546,1.338,-0.481855,-1.39188,771.801,978.393
3,13.38375687,26.6403,3.91147,2.73627,28.1066,12.3975,11.1579,1.07631,-0.311004,-1.96158,756.888,979.653
4,13.39458149,26.4333,3.87283,2.55074,26.9637,11.9649,10.462,0.798144,-0.151871,-2.53291,741.911,981.26
5,13.3620511,26.0491,3.82763,2.35415,25.7642,11.5171,9.66941,0.504748,-0.0037422,-3.10471,726.865,983.199
6,13.27784839,25.4743,3.77483,2.14526,24.5169,11.0566,8.7833,0.197873,0.134383,-3.67556,711.744,985.453
7,14.65159739,32.0871,4.56027,3.795,42.616,13.5423,17.6599,-1.73043,-6.10069,-185.185,783.482,1012.56
8,14.81448907,32.519,4.5083,3.50075,41.6076,12.7508,17.4169,-2.04266,-5.98102,-186.089,763.513,1013.84
9,14.90330693,32.6987,4.44245,3.15046,40.4555,11.9316,17.0823,-2.38018,-5.85809,-186.981,743.414,1015.57
10,14.91581668,32.6044,4.36457,2.74683,39.1719,11.0912,16.6662,-2.74064,-5.73128,-187.863,723.181,1017.76
11,14.86682689,32.2151,4.27611,2.29324,37.7676,10.2387,16.1756,-3.12142,-5.59974,-188.731,702.808,1020.37
12,14.72185656,31.5101,4.1779,1.79363,36.2512,9.38505,15.6133,-3.51963,-5.46246,-189.585,682.295,1023.37
13,10.62906505,27.3695,2.48086,2.22817,38.3112,9.76554,-8.04337,-1.55361,1.16869,0.0664238,676.817,984.268
14,10.81375164,27.5941,2.43597,2.07084,37.4275,9.3303,-8.13435,-1.68595,1.31236,-0.479183,661.536,985.739
15,10.90757807,27.674,2.37505,1.91011,36.4221,8.83518,-8.32973,-1.84755,1.44795,-1.04234,646.234,987.556
16,10.93937539,27.6009,2.29856,1.74463,35.302,8.2908,-8.6309,-2.03768,1.57469,-1.62266,630.906,989.706
17,10.89328124,27.3661,2.20648,1.57198,34.0738,7.70774,-9.03928,-2.25499,1.69282,-2.21852,615.546,992.17
18,10.77777512,26.9605,2.0983,1.38898,32.7444,7.09644,-9.55614,-2.4976,1.80364,-2.82708,600.15,994.93
19,22.28884334,33.0969,4.17093,6.75818,42.8301,11.5824,10.2675,-0.759843,-4.02274,-5.34679,678.036,948.748
20,22.74495813,33.208,4.10283,6.18569,41.538,10.9786,9.79681,-1.07992,-3.74687,-5.90146,658.806,950.523
21,23.03207963,33.0254,4.0203,5.56908,40.0918,10.3547,9.19632,-1.4131,-3.44804,-6.46654,639.515,952.736
22,23.15688597,32.543,3.92366,4.91707,38.5153,9.72857,8.47593,-1.75499,-3.13586,-7.04481,620.147,955.362
23,23.0557005,31.754,3.81193,4.23779,36.8309,9.11672,7.63767,-2.10086,-2.81953,-7.63716,600.691,958.371
24,22.69252415,30.6521,3.68314,3.53886,35.0601,8.5333,6.67803,-2.44579,-2.50741,-8.24268,581.135,961.727
25,26.92155303,27.6754,1.24679,5.32145,31.9712,2.94986,10.8343,6.82707,-5.42474,2.74642,639.319,865.414
